Time,Ask,Bid,AskVolume,BidVolume
10.02.2014 02:25:38.655,6.03140,6.02950,0.10,0.09
10.02.2014 02:25:46.664,6.03140,6.02960,0.08,0.10
10.02.2014 02:25:50.668,6.03230,6.02930,0.08,0.06
10.02.2014 02:25:52.670,6.03200,6.02900,0.11,0.09
10.02.2014 02:26:52.634,6.03150,6.02950,0.11,0.06
10.02.2014 02:26:54.636,6.03150,6.02970,0.08,0.06
10.02.2014 02:26:56.638,6.03160,6.02970,0.09,0.06
10.02.2014 02:27:06.648,6.03150,6.02970,0.08,0.06
10.02.2014 02:27:14.657,6.03150,6.02940,0.06,0.10
10.02.2014 02:27:16.659,6.03180,6.02970,0.06,0.08
10.02.2014 02:27:22.666,6.03160,6.02950,0.08,0.10
10.02.2014 02:27:24.668,6.03170,6.02930,0.06,0.11
10.02.2014 02:27:32.678,6.03200,6.02990,0.06,0.08
10.02.2014 02:28:08.617,6.03170,6.02980,0.08,0.06
10.02.2014 02:28:10.619,6.03170,6.02990,0.06,0.10
10.02.2014 02:28:58.674,6.03170,6.02980,0.09,0.08
10.02.2014 02:29:08.683,6.03180,6.02950,0.06,0.09
10.02.2014 02:29:14.689,6.03160,6.02980,0.06,0.11
10.02.2014 02:29:42.718,6.03160,6.02960,0.06,0.11
10.02.2014 02:30:00.636,6.03170,6.02980,0.09,0.11
10.02.2014 02:30:40.585,6.03160,6.02960,0.08,0.06
10.02.2014 02:32:58.637,6.03190,6.03000,0.06,0.09
10.02.2014 02:33:04.644,6.03190,6.02950,0.08,0.09
10.02.2014 02:33:28.671,6.03250,6.02930,0.09,0.10
10.02.2014 02:34:32.645,6.03200,6.02980,0.11,0.10
10.02.2014 02:34:44.660,6.03240,6.03020,0.08,0.06
10.02.2014 02:34:52.670,6.03220,6.02990,0.11,0.08
10.02.2014 02:35:16.607,6.03220,6.03030,0.11,0.10
10.02.2014 02:35:48.750,6.03240,6.03010,0.10,0.06
10.02.2014 02:36:26.695,6.03240,6.02980,0.10,0.09
10.02.2014 02:36:28.597,6.03240,6.03050,0.09,0.08
10.02.2014 02:36:34.604,6.03240,6.03020,0.08,0.09
10.02.2014 02:36:44.714,6.03230,6.03010,0.11,0.11
10.02.2014 02:37:06.739,6.03230,6.03050,0.11,0.09
10.02.2014 02:37:14.648,6.03220,6.03000,0.08,0.06
10.02.2014 02:37:18.653,6.03230,6.03030,0.11,0.09
10.02.2014 02:37:20.655,6.03230,6.03050,0.06,0.11
10.02.2014 02:37:42.682,6.03230,6.03040,0.11,0.09
10.02.2014 02:39:10.687,6.03250,6.03050,0.09,0.09
10.02.2014 02:39:38.620,6.03250,6.03040,0.06,0.09
10.02.2014 02:39:40.622,6.03240,6.03060,0.08,0.10
10.02.2014 02:39:50.634,6.03250,6.03040,0.11,0.11
10.02.2014 02:39:52.637,6.03250,6.03070,0.08,0.06
10.02.2014 02:41:36.658,6.03250,6.03060,0.10,0.11
10.02.2014 02:41:46.669,6.03240,6.03060,0.08,0.08
10.02.2014 02:43:58.634,6.03250,6.03030,0.06,0.06
10.02.2014 02:46:32.624,6.03250,6.03030,0.08,0.08
10.02.2014 02:47:04.661,6.03250,6.03070,0.06,0.09
10.02.2014 02:47:06.663,6.03250,6.03060,0.09,0.11
10.02.2014 02:47:24.685,6.03260,6.03060,0.09,0.11
10.02.2014 02:47:28.690,6.03270,6.03060,0.10,0.09
10.02.2014 02:47:36.700,6.03270,6.03050,0.09,0.08
10.02.2014 02:48:12.745,6.03270,6.03040,0.09,0.10
10.02.2014 02:48:14.648,6.03280,6.03070,0.10,0.10
10.02.2014 02:49:12.620,6.03260,6.03050,0.11,0.10
10.02.2014 02:50:44.635,6.03280,6.03070,0.08,0.06
10.02.2014 02:52:28.658,6.03260,6.03040,0.09,0.09
10.02.2014 02:52:34.664,6.03250,6.03060,0.06,0.08
10.02.2014 02:52:50.682,6.03250,6.03070,0.11,0.11
10.02.2014 02:53:26.723,6.03230,6.03040,0.08,0.06
10.02.2014 02:53:36.734,6.03230,6.03030,0.10,0.11
10.02.2014 02:53:40.638,6.03220,6.03020,0.08,0.10
10.02.2014 02:53:46.645,6.03210,6.03000,0.09,0.06
10.02.2014 02:53:50.649,6.03250,6.03030,0.10,0.08
10.02.2014 02:53:54.754,6.03230,6.03040,0.11,0.10
10.02.2014 02:53:56.656,6.03230,6.03020,0.10,0.08
10.02.2014 02:53:58.658,6.03210,6.03010,0.11,0.10
10.02.2014 02:54:04.666,6.03200,6.03000,0.09,0.06
10.02.2014 02:54:06.668,6.03210,6.02990,0.10,0.08
10.02.2014 02:54:42.710,6.03210,6.03030,0.10,0.10
10.02.2014 02:55:40.682,6.03220,6.03010,0.11,0.09
10.02.2014 02:55:44.686,6.03220,6.03040,0.10,0.08
10.02.2014 02:55:52.695,6.03230,6.03040,0.10,0.11
10.02.2014 02:56:16.622,6.03230,6.03010,0.11,0.10
10.02.2014 02:56:22.629,6.03240,6.03050,0.10,0.08
10.02.2014 02:56:28.636,6.03230,6.03040,0.06,0.08
10.02.2014 02:56:30.738,6.03230,6.03030,0.11,0.08
10.02.2014 02:57:04.678,6.03230,6.03040,0.08,0.09
10.02.2014 02:57:48.732,6.03220,6.03030,0.06,0.11
10.02.2014 02:59:30.755,6.03230,6.03040,0.11,0.09
10.02.2014 03:03:50.651,6.03280,6.02980,0.06,0.11
10.02.2014 03:03:52.653,6.03300,6.03000,0.08,0.11
10.02.2014 03:05:02.645,6.03240,6.03040,0.11,0.09
10.02.2014 03:05:28.675,6.03230,6.03050,0.06,0.06
10.02.2014 03:05:44.695,6.03240,6.03050,0.06,0.09
10.02.2014 03:06:02.717,6.03250,6.03050,0.08,0.06
10.02.2014 03:06:04.619,6.03260,6.03070,0.09,0.10
